__atable_index,file_path,task_name,task_label,param_dict,family_label,header_size,build_time,dump_time,row_created,row_updated
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2032040_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2032040_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGHI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2032040_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2033777, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGHI/column_avg_symbol_to_p_noshadow'}",No family,1900280,2.6631562769999997,752.229273189,2022-02-10T10:36:19.618673,2022-02-10T10:36:19.619582
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1614316_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1614316_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1614316_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1647690, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJ/column_avg_symbol_to_p_noshadow'}",No family,1937363,2.720303568,718.259656933,2022-02-10T10:35:45.181027,2022-02-10T10:35:45.181969
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1584693_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1584693_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJI/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1584693_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1584898, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_FGJI/column_avg_symbol_to_p_noshadow'}",No family,1926576,2.741244238,730.7442142909999,2022-02-10T10:35:57.716907,2022-02-10T10:35:57.717818
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2469211_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2469211_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_IJ/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2469211_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2469560, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_IJ/column_avg_symbol_to_p_noshadow'}",No family,1868202,2.708386088,717.001288925,2022-02-10T10:35:44.074971,2022-02-10T10:35:44.075917
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1873349_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1873349_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JG/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1873349_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.1877171, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JG/column_avg_symbol_to_p_noshadow'}",No family,1895273,2.686436917,718.608473574,2022-02-10T10:35:45.627671,2022-02-10T10:35:45.628590
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3073768_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3073768_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JLS/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3073768_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3074315, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_JLS/column_avg_symbol_to_p_noshadow'}",No family,1816995,2.600206467,752.246418049,2022-02-10T10:36:19.461879,2022-02-10T10:36:19.462778
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_N/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2704331_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_N/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2704331_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_N/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2704331_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2753265, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_N/column_avg_symbol_to_p_noshadow'}",No family,1859607,2.687240467,704.636021658,2022-02-10T10:35:31.957497,2022-02-10T10:35:31.958437
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3177444_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3177444_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_NW/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3177444_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.3224148, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_NW/column_avg_symbol_to_p_noshadow'}",No family,1808916,2.660318777,768.520799172,2022-02-10T10:36:35.932423,2022-02-10T10:36:35.933339
"('avg_all', 'FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_W/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2487047_tree_count=1_tree_size=65536')",avg_all,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_W/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2487047_tree_count=1_tree_size=65536,FastYamamotoBuildTask__forest_output_dir=/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_W/column_avg_symbol_to_p_noshadow_qstep=6_source=Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2487047_tree_count=1_tree_size=65536,"{'tree_size': 65536, 'tree_count': 1, 'source': Source_avg_symbol_to_p_noshadow_256symbols_entropy1.2500482, 'qstep': 6, 'forest_output_dir': '/home/miguel/local_v2f/forest_generation/prebuilt_forests/q6/prediction_W/column_avg_symbol_to_p_noshadow'}",No family,1868133,2.723003787,697.374763115,2022-02-10T10:35:24.859280,2022-02-10T10:35:24.860235
