group_label,group_size,bpppc_min,bpppc_max,bpppc_avg,bpppc_std,bpppc_median
CCSDS 123.0-B-2 Hybrid,2100,0.4733523559570312,2.2444302368164064,1.0261863336472283,0.38914558667069965,0.8747346496582031
JPEG-LS lossy,2100,0.0960446166992187,2.323189697265625,0.9937320978073848,0.5354515851599754,0.9088397216796875
Kakadu JPEG 2000 lossy,2100,0.9802349853515624,4.999666748046875,2.9754975662958056,1.4030182467855912,2.9778155517578124
"V2F (W1+W2) / 2, 1 tree",2940,0.985924072265625,4.353626708984375,1.877820826939174,0.6327903168255329,1.6856365966796876
"V2F (W1+W2) / 2, 1 tree noshadow",2940,0.9286676025390626,4.228160400390625,1.8067864464999868,0.6169708528236519,1.6163815307617186
"V2F FGIJ, 1 tree",2940,1.305726318359375,4.134043579101562,2.1394522171539516,0.49614126371413003,2.0214697265624997
"V2F FGIJ, 1 tree noshadow",2940,1.250953369140625,4.006550903320313,2.0593414767518334,0.4822743913937163,1.9397802734375
"V2F JPEGLS, 1 tree",2940,1.0779449462890625,3.766563720703125,1.8272519346483709,0.5279088254898553,1.7000741577148437
"V2F JPEGLS, 1 tree noshadow",2940,1.013453369140625,3.630045166015625,1.7463801286139453,0.5100380593110567,1.6320242309570312
"V2F W, 1 tree",2940,1.01037841796875,4.022092895507813,1.8252041848111316,0.5842311253567988,1.694111633300781
"V2F W, 1 tree noshadow",2940,0.9498358154296876,3.888937377929688,1.7492325528722228,0.5667831095483824,1.6206793212890624
